ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_TURNO,ACUMULADO_GANANCIAS
878,7,35689.0,107,5570.57
792,8,372.0,98,88.69
879,12,691.0,107,199.6891
869,6,3127.0,106,836.72
849,14,44.0,104,14.0
870,11,641.0,106,135.68
850,5,487.0,104,229.16
871,1,114.0,106,103.0
880,6,5439.0,107,1662.11
860,10,930.0,105,187.03
851,11,1002.0,104,234.95
881,9,8106.0,107,1493.04
884,10,1490.0,107,337.865
882,11,1187.0,107,261.3
872,12,469.0,106,106.88
883,1,186.0,107,187.0
886,5,568.0,107,138.22
842,14,26.0,103,6.0
843,1,28.0,103,18.0
852,1,182.0,104,162.0
885,16,173.0,107,60.14
887,8,1417.0,107,296.4
890,7,25004.0,108,3853.01
891,6,3066.0,108,924.3501
892,8,1642.0,108,306.3
822,1,713.0,101,569.0
893,1,78.0,108,78.0
900,7,27729.0,109,4004.28
894,12,342.0,108,110.2394
901,12,537.0,109,180.6694
902,10,1209.0,109,262.37
861,12,359.0,105,104.247
903,6,4725.0,109,1432.1001
823,5,4877.0,101,1000.7576
895,11,726.0,108,154.08
904,9,3830.0,109,709.92
905,5,505.0,109,123.46
906,8,1071.0,109,214.07
907,17,88.0,109,18.3
862,1,81.0,105,71.0
910,14,45.0,109,13.5
908,1,114.0,109,114.0
909,11,812.0,109,175.56
896,9,5200.0,108,960.0
853,8,2198.0,104,417.3471
911,7,19018.0,110,2637.48
912,9,2363.0,110,434.99
913,1,42.0,110,42.0
920,6,1435.0,111,372.3
897,5,524.0,108,88.57
873,10,864.0,106,206.025
921,7,11459.0,111,1736.5
914,6,2092.0,110,596.5503
898,10,744.0,108,186.015
922,9,2075.0,111,392.87
923,10,256.0,111,61.74
924,12,154.0,111,50.94
925,11,645.0,111,136.48
915,10,570.0,110,123.6
916,11,279.0,110,63.8
926,8,899.0,111,190.0
927,17,40.0,111,8.3
928,5,372.0,111,80.17
917,12,214.0,110,69.37
863,14,81.0,105,19.5
918,8,1182.0,110,229.33
888,14,65.0,107,19.0
864,16,101.0,105,32.0
874,14,87.0,106,24.0
854,16,84.0,104,32.64
865,5,400.0,105,47.92
866,8,1043.0,105,195.74
875,8,1256.0,106,217.34
793,14,60.0,98,16.5
794,5,522.0,98,129.68
876,5,125.0,106,29.5
877,16,333.0,106,124.25
855,15,8.0,104,4.25
889,15,8.0,107,4.25
919,5,762.0,110,184.29
929,14,20.0,111,5.5
